run_id,stage_code,stage_name,folder,source_file,started_at_utc,experiment_date,experiment_time_utc,time_window,day_label,consensus_weight,guard_probability,middle_probability,read_bytes_per_second,write_bytes_per_second,total_bytes_per_second,trials_to_convergence,initial_intersection_size,n_recorded_iterations,read_Mbps,write_Mbps,total_Mbps,T_le_15,T_le_25,T_le_10,T_le_5,T_le_3,T_le_2,T_le_1
4,IP,Introduction Point,introduction_point,4-intersections_20260107_020003_301166_cd4b98.csv,2026-01-07T02:00:03+00:00,2026-01-07,02:00 UTC,02:00,Day 1,830,7.2766943e-06,4.610658e-06,115557.54,123577.26,239134.8,285,79,285,0.92446032,0.98861808,1.9130783999999998,2,2,3,4,42,245,285
5,IP,Introduction Point,introduction_point,5-intersections_20260107_100003_308503_f4dfe2.csv,2026-01-07T10:00:03+00:00,2026-01-07,10:00 UTC,10:00,Day 1,850,7.4798345e-06,4.7120916e-06,115557.54,123577.26,239134.8,52,101,52,0.92446032,0.98861808,1.9130783999999998,2,2,2,3,9,52,52
6,IP,Introduction Point,introduction_point,6-intersections_20260107_180003_316323_5fa70b.csv,2026-01-07T18:00:03+00:00,2026-01-07,18:00 UTC,18:00,Day 1,850,7.501773e-06,4.6849427e-06,115557.54,123577.26,239134.8,163,74,163,0.92446032,0.98861808,1.9130783999999998,2,2,3,9,11,163,163
7,IP,Introduction Point,introduction_point,7-intersections_20260108_020005_324505_9e435a.csv,2026-01-08T02:00:05+00:00,2026-01-08,02:00 UTC,02:00,Day 2,850,7.534345e-06,4.6879222e-06,135462.19,146626.5,282088.69,8,81,8,1.08369752,1.173012,2.25670952,2,2,3,4,4,4,8
8,IP,Introduction Point,introduction_point,8-intersections_20260108_100004_331704_30329b.csv,2026-01-08T10:00:04+00:00,2026-01-08,10:00 UTC,10:00,Day 2,1500,1.3308493e-05,8.285086e-06,135462.19,146626.5,282088.69,178,101,178,1.08369752,1.173012,2.25670952,4,3,6,11,30,178,178
9,IP,Introduction Point,introduction_point,9-intersections_20260108_180003_341028_28c552.csv,2026-01-08T18:00:03+00:00,2026-01-08,18:00 UTC,18:00,Day 2,1400,1.2491841e-05,7.843119e-06,144032.25,153569.04,297601.29000000004,324,84,324,1.152258,1.2285523200000001,2.38081032,2,2,3,14,233,324,324
10,IP,Introduction Point,introduction_point,10-intersections_20260109_180002_368709_13b111.csv,2026-01-09T18:00:02+00:00,2026-01-09,18:00 UTC,18:00,Day 3,1900,1.695209e-05,1.07551e-05,154813.93,163566.3,318380.23,11,75,11,1.23851144,1.3085304,2.54704184,2,2,3,4,4,4,11
11,IP,Introduction Point,introduction_point,11-intersections_20260110_020004_372639_b50e07.csv,2026-01-10T02:00:04+00:00,2026-01-10,02:00 UTC,02:00,Day 4,1900,1.7020451e-05,1.0808866e-05,154813.93,163566.3,318380.23,8,91,8,1.23851144,1.3085304,2.54704184,3,2,3,5,6,6,8
12,IP,Introduction Point,introduction_point,12-intersections_20260110_100002_378620_7c2d0c.csv,2026-01-10T10:00:02+00:00,2026-01-10,10:00 UTC,10:00,Day 4,2000,1.7880013e-05,1.1405737e-05,202640.38,211330.99,413971.37,10,50,10,1.62112304,1.69064792,3.31177096,2,2,2,2,3,6,10
4,M1,Middle 1,middle0,4-intersections_20260107_053640_333462_fa0c12.csv,2026-01-07T05:36:40+00:00,2026-01-07,05:36 UTC,02:00,Day 1,5000,4.4071057e-05,2.7644339e-05,547286.58,566631.91,1113918.49,5,137,5,4.37829264,4.53305528,8.91134792,3,2,3,3,4,5,5
5,M1,Middle 1,middle0,5-intersections_20260107_103932_337057_e9f91c.csv,2026-01-07T10:39:32+00:00,2026-01-07,10:39 UTC,10:00,Day 1,5000,4.395163e-05,2.7646556e-05,752107.99,812539.99,1564647.98,13,192,13,6.01686392,6.50031992,12.51718384,3,3,4,5,7,13,13
6,M1,Middle 1,middle0,6-intersections_20260107_200444_347340_c84ff9.csv,2026-01-07T20:04:44+00:00,2026-01-07,20:04 UTC,18:00,Day 1,4000,3.5348447e-05,2.1983018e-05,752107.99,812539.99,1564647.98,7,129,7,6.01686392,6.50031992,12.51718384,3,2,3,5,6,7,7
7,M1,Middle 1,middle0,7-intersections_20260108_020556_353799_2208bf.csv,2026-01-08T02:05:56+00:00,2026-01-08,02:05 UTC,02:00,Day 2,4000,3.5516878e-05,2.1952535e-05,752107.99,812539.99,1564647.98,11,148,11,6.01686392,6.50031992,12.51718384,3,3,4,7,8,8,11
8,M1,Middle 1,middle0,8-intersections_20260108_121041_365169_7ddd9c.csv,2026-01-08T12:10:41+00:00,2026-01-08,12:10 UTC,10:00,Day 2,4100,3.6371053e-05,2.2791259e-05,381504.06,418284.75,799788.81,17,158,17,3.05203248,3.346278,6.39831048,4,3,6,10,13,16,17
9,M1,Middle 1,middle0,9-intersections_20260108_221104_375990_3b1557.csv,2026-01-08T22:11:04+00:00,2026-01-08,22:11 UTC,18:00,Day 2,4100,3.6529425e-05,2.3119126e-05,381504.06,418284.75,799788.81,10,147,10,3.05203248,3.346278,6.39831048,3,2,3,4,9,10,10
10,M1,Middle 1,middle0,10-intersections_20260109_180803_396194_a121de.csv,2026-01-09T18:08:03+00:00,2026-01-09,18:08 UTC,18:00,Day 3,4800,4.2827225e-05,2.7236549e-05,353571.99,387058.1,740630.09,10,164,10,2.82857592,3.0964647999999997,5.92504072,3,3,4,6,7,9,10
11,M1,Middle 1,middle0,11-intersections_20260110_020553_403105_15193c.csv,2026-01-10T02:05:53+00:00,2026-01-10,02:05 UTC,02:00,Day 4,4800,4.3036256e-05,2.7121798e-05,353571.99,387058.1,740630.09,53,198,53,2.82857592,3.0964647999999997,5.92504072,6,3,7,11,14,14,53
12,M1,Middle 1,middle0,12-intersections_20260110_100722_409808_5b766b.csv,2026-01-10T10:07:22+00:00,2026-01-10,10:07 UTC,10:00,Day 4,4800,4.296021e-05,2.7313192e-05,393766.11,414653.24,808419.35,4,90,4,3.15012888,3.31722592,6.4673548,2,2,2,3,3,3,4
4,VG,Vanguard,vanguard,4-intersections_20260107_054024_323815_eea07e.csv,2026-01-07T05:40:24+00:00,2026-01-07,05:40 UTC,02:00,Day 1,1200,1.0577053e-05,6.634641e-06,75424.21,84961.21,160385.42,61,112,61,0.60339368,0.6796896800000001,1.28308336,2,2,2,61,61,61,61
5,VG,Vanguard,vanguard,5-intersections_20260107_104859_333577_1583e4.csv,2026-01-07T10:48:59+00:00,2026-01-07,10:48 UTC,10:00,Day 1,1200,1.05483905e-05,6.635173e-06,75424.21,84961.21,160385.42,4,76,4,0.60339368,0.6796896800000001,1.28308336,2,2,3,3,3,3,4
6,VG,Vanguard,vanguard,6-intersections_20260107_200953_352689_53856b.csv,2026-01-07T20:09:53+00:00,2026-01-07,20:09 UTC,18:00,Day 1,1200,1.0604534e-05,6.5949057e-06,75424.21,84961.21,160385.42,12,85,12,0.60339368,0.6796896800000001,1.28308336,2,2,2,2,4,12,12
7,VG,Vanguard,vanguard,7-intersections_20260108_021400_365975_63f09d.csv,2026-01-08T02:14:00+00:00,2026-01-08,02:14 UTC,02:00,Day 2,1200,1.0655063e-05,6.5857603e-06,75424.21,84961.21,160385.42,10,107,10,0.60339368,0.6796896800000001,1.28308336,2,2,3,5,5,6,10
8,VG,Vanguard,vanguard,8-intersections_20260108_122347_386835_e52dc0.csv,2026-01-08T12:23:47+00:00,2026-01-08,12:23 UTC,10:00,Day 2,1200,1.0645186e-05,6.6706125e-06,183732.33,195066.7,378799.03,142,148,142,1.46985864,1.5605336,3.0303922400000003,7,3,38,60,61,76,142
9,VG,Vanguard,vanguard,9-intersections_20260108_221828_404930_d673ec.csv,2026-01-08T22:18:28+00:00,2026-01-08,22:18 UTC,18:00,Day 2,1200,1.07e-05,6.77e-06,183732.33,195066.7,378799.03,251,161,251,1.46985864,1.5605336,3.0303922400000003,11,3,11,19,49,66,251
10,VG,Vanguard,vanguard,10-intersections_20260109_181520_465139_ea9ece.csv,2026-01-09T18:15:20+00:00,2026-01-09,18:15 UTC,18:00,Day 3,1300,1.1599041e-05,7.376565e-06,159460.87,169393.07,328853.94,24,95,24,1.27568696,1.35514456,2.63083152,2,2,3,3,6,20,24
11,VG,Vanguard,vanguard,11-intersections_20260110_024505_491262_2f8541.csv,2026-01-10T02:45:05+00:00,2026-01-10,02:45 UTC,02:00,Day 4,1300,1.1655652e-05,7.345487e-06,159460.87,169393.07,328853.94,6,89,6,1.27568696,1.35514456,2.63083152,2,2,3,3,4,4,6
12,VG,Vanguard,vanguard,12-intersections_20260110_101013_511731_da50c5.csv,2026-01-10T10:10:13+00:00,2026-01-10,10:10 UTC,10:00,Day 4,1300,1.1635057e-05,7.397323e-06,184515.28,191361.23,375876.51,3,48,3,1.47612224,1.5308898400000002,3.00701208,2,2,2,2,3,3,3
4,EG,Entry Guard,entry,4-intersections_20260107_062605_299086_ac1f46.csv,2026-01-07T06:26:05+00:00,2026-01-07,06:26 UTC,10:00,Day 1,9300,8.191807e-05,5.1510826e-05,1220358.0,1340558.0,2560916.0,31,218,31,9.762864,10.724464,20.487328,5,3,8,16,16,31,31
5,EG,Entry Guard,entry,5-intersections_20260107_105148_302825_ec808d.csv,2026-01-07T10:51:48+00:00,2026-01-07,10:51 UTC,10:00,Day 1,9300,8.1750026e-05,5.1422594e-05,1220358.0,1340558.0,2560916.0,62,284,62,9.762864,10.724464,20.487328,6,4,10,17,17,21,62
